bn,en
শুরুর,shurur
দিকে,dike
কিছুটা,kichuta
ধীর,dhir
গতিতে,gatite
কাজ,kaaj
চললে,challe
ঐ,oi
বছরের,bachorer
বাকী,baki
সময়ের,shomoyer
মধ্যে,moddhe
১০০০,1000
পৃষ্ঠা,pristha
তৈরী,toiri
মমতা,mamata
একজন,akjon
বাগ্মী,bagmi
রাজনীতিবিদ,rajneetibid
এফএ,fa
কাপের,cuper
সিজনে,sijane
ওয়েন্ডেরাস,wanderas
ফুটবল,football
ক্লাব,club
চ্যাম্পিয়ন,champion
হয়েছিল,hoyechilo
ম্যাজিকাল,magical
প্রিন্সেন্স,princess
মিনকি,minki
মোমো,momo
নো,no
রোনডো,rondo
১৯৯০,1990
সালের,saaler
শরৎকালে,saratkale
এস্তোনীয়,estoniyo
টেলিভিশন,television
আইন,ain
পরিষদ,porishod
বন্ধ,bondho
করে,kore
দেয়ার,deyar
জন্য,jonno
সোভিয়েত,soviet
কর্তৃপক্ষের,kotripokkher
নির্দেশ,nirdesh
উপেক্ষা,upekkha
করেন,koren
সেটের,seter
মত,moto
সারিরও,sariro
সদস্য,shadashyo
কিন্তু,kintu
যেখানে,jekhane
একটি,ekti
সেটে,sete
সদস্যদের,sadashyer
ক্রম,kram
গুরুত্বহীন,guruttohin
সারির,sarir
ক্ষেত্রে,khetre
সদস্যদের,shadashyoder
গুরুত্বপূর্ণ,guruttopurno
বর্ষাকালে,barshakale
মাঠ,math
পাড়ি,pari
দিতেন,diten
ভেঙ্গে,bhenge
নন্দ,nanda
শাসকদের,sashakder
অর্জিত,arjita
ধনসম্পদের,dhansampader
বর্ণনা,barnona
দেন,den
ত্রিমাত্রিক,trimatrik
গঠনে,gathane
দ্বিমাত্রিক,dimatrik
পৃষ্ঠ,pristho
কাটাকে,katake
বলে,bole
রাজশাহী,rajshahi
ধর্মনিরপেক্ষ,dharmaniropekkho
সংস্কারের,shonskarer
প্রতি,prati
একে,eke
সেজন্য,sejonno
নতুন,notun
মিডিয়াউইকির,mediawikir
আমদানি,amdani
রপ্তানি,roptani
ফিচার,feature
ব্যবহার,byabohar
একুশে,ekushe
পদক,padak
১৯৭৪,1974
সনের,saner
শেষের,shesher
লোকনায়ক,loknayak
জয়প্রকাশের,jayprokasher
নেতৃত্বে,netritte
সমগ্র,samagra
দেশজুড়ে,deshjure
আন্দোলনের,andoloner
সৃষ্টি,sristi
এরপর,erpor
ছেলে,chele
মেয়েরা,meyera
রঙ,rong
কালি,kali
মেখে,mekhe
বানর,banor
ভালুক,bhaluk
প্রভৃতি,probhriti
জন্তু,jontu
জানোয়ার,janowar
বাড়ি,bari
গিয়ে,giye
টাকা,taka
খাবার,khabar
সংগ্রহ,shangraho
আনে,ane
রথযাত্রা,rathojatra
যেহেতু,jehetu
ইংল্যান্ডের,englander
সকল,shakal
স্তরের,starer
দল,dal
একে,ake
অন্যের,onner
বিরুদ্ধে,biruddhe
খেলার,khelar
পায়,pay
তাই,tai
প্রতিযোগিতায়,protijogitay
অনেক,onek
ছোট দল,choto
বড়,boro
দলকে,dalke
প্রতিযোগিতা,pratijogita
থেকে,theke
বিদায়,biday
দিয়ে,diye
জায়ান্ট-কিলার,gaint killer
উপাধি,upadhi
পেতে,pete
পারে,pare
বয়ন,bayan
শিল্পটি,shilpoti
নালগন্ডা,nalgonda
জেলার,jelay
পচাম্পালি,pochampali
কয়ালগুডাম,koyalgudam
চোউতুপল্লা,chowtupalla
স্রিরপুরম,srirpuram
ভুবনগিরি,bhuvangiri
চুইগোট্টালা,chuigottala
গলতেপেল্লা,galtepella
আরো,aro
কিছু,kichu
নিকটবর্তী,nikatborti
গ্রামে,grame
বেঁচে,beche
এর,er
ফলে,fole
সর্বোচ্চ,sorboccho
সংখ্যক,shonkhyok
অলিম্পিক,olympic
স্বর্ণপদক,shornopadak
বিজয়ী,bijoyi
ক্রীড়াবিদ,krirabid
নিজেকে,nijeke
প্রতিষ্ঠিত,protisthito
করেছেন,korechen
লাইব্রেরীটিকে,librarytike
জাতীয়,jatiyo
হেরিটেজ,heritage
ঘোষনা,ghosona
করার,korar
চলছে,cholche
অতঃপর,atahpar
একশত,ekshata
বছরেরও,bacharerero
বেশি,beshi
দ্বীপে,dipe
কেউ,keo
অবতরণে,abatarane
সক্ষম,shokkhom
নি,ni
অবশেষে,abashese
২,2
ফেব্রুয়ারি,february
১৯২৯,1929
লারস,lars
ক্রিস্টেনসেনের,christiansener
পৃষ্ঠপোষকতায়,pristhaposhokatay
লারসেন,larsen
ওলা,ola
ওলস্টাডের,olastader
দ্বিতীয়,dwitiyo
নরভেজিয়া,norwayjiyo
অভিযান,abhijan
সর্বপ্রথম,sorboprothom
পৌঁছাতে,pouchate
সৌদি,saudi
দাপ্তরিকগণ,daptarikgan
অস্বীকার,asshikar
করেই,karei
যাচ্ছেন,jacchen
যে,je
কাজে,kaje
রাজবংশ,rajbangsho
প্রদান,prodan
বা,ba
অনুমতি,anumoti
দেবার,debar
সাথে,shathe
জড়িত,jorito
নারদ,narad
চললো,chollo
গিরি,giri
রাজের,rajer
গৃহেতে,grihete
ছায়াবাস্তব,chayabastab
পরবর্তীতে,porobartite
রাজ,raj
কাকা,kaka
পুরাতাত্ত্বিক,puratattik
ত্যাগ,tyag
স্বাভাবিক,shabhabik
জীবন,jibon
কাটিয়ে,katiye
শেষ,shesh
পরে,pore
কোলকাতা,kolkata
চলে,chole
যান,jan
আবার,abar
অনির্মাণযোগ্য,anirmanjoggo
কোণ,kon
যদি,jadi
দেয়া,deya
তবে,tobe
ত্রিখন্ডিত,trikhandit
যায়,jay
যেমন,jemon
মেটিয়াবুরুজের,metiaburujer
দরবার,darbar
যন্ত্রসংগীতেও,jantrashongeeteo
তুলনাহীন,tulonahin
ফতেহ,fateh
লোহানীর,lohanir
ভাই,bhai
ফজলে,fazle
লোহানী,lohani
হুসনা,husna
বানু,banu
খানম,khanam
হেনা,hena
লাল,lal
উর্বর,urbar
মস্তিষ্কের,mastishker
অধিকারী,odhikari
লেখক,lekhok
ছিলেন,chilen
২০০৪,2004
রিপুয়ারীয়,ripuyariyo
উইকিপিডিয়া,wikipedia
চালু,chalu
ব্যাপারে,byapare
অনুরোধ,onurodh
হয়েছিলো,hoyechilo
ভাল্ডমার,bhandmar
রিকোভস্কি,rikovski
য়ান,yan
তেসজার,tesjar
ভার্শ,varsh
অঞ্চলের,oncholer
মাঝবয়সী,majhboyoshi
ট্যাক্সি,taxi
চালক,chalok
যিনি,jini
নিজের,nijer
স্বাধীন,shadhin
পেশা,pesha
উপভোগ,upobhog
করতো,korto
টুন,tun
কমিউনিটি,community
কলেজ,college
পরিবর্তনশীল,poribortonshil
পর্যায়ে,parjaye
বিকল্প,bikalpo
প্রস্তাব,prastab
১৯৮০,1980
কাউন্টি,county
ক্যাপ,cap
১৯৮৭,1987
সুবিধা,subhidha
লাভের,labher
খেলায়,khelay
অংশ,ongsho
নেন,nen
সুরাট,surat
মুম্বই,mumbai
ভাবনগর,bhabnagar
বিমান,biman
পরিচালনা,porichalona
ডেকান,deccan
এয়ার,air
বিশ,bish
শতকে,shatake
১৯৮০’র,1980'r
দশক,dashak
লাঙল,langol
সেই,shei
দখল,dakhal
করায়,koray
দিনে,dine
হারিয়ে,hariye
যেতে,jete
বসেছে,bosheche
কাঠের,kather
ইবনুল,ibnul
আরাবী,arabi
১৯৬০,1960
‍লুইস,louis
দীক্ষা,dikkha
দানের,daner
কার্যক্রম,karjokrom
আরম্ভ,arambha
আধুনিক,adhunik
কল্পকাহিনীতে,kalpokahinite
যাদুকর,jadukar
কোন,kono
অলৌকিক,aloukik
উপায়ে,upaye
যাদুকরী,jadukari
ক্ষমতার,khomotar
দূরদিগন্তে,durdigante
উঁকি,uki
কত,koto
বছর,bachor
আগে,age
জমিদার,jomidar
বাড়িটি,bariti
নির্মাণ,nirman
সঠিক,shathik
তথ্য,tattho
জানা,jana
যায়নি,jayni
ঐ,ei
মৌসুমে,mousume
বার্সেলোনার,barcelonar
সবকয়টি,shobkoyti
শিরোপাই,shiropai
হাতছাড়া,hathchara
হয়ে,hoye
পূজার,pujar
আগের,ager
দিন,din
চড়ক,charak
গাছটিকে,gachtike
ধুয়ে-মুছে,dhuye-muche
পরিষ্কার,porishkar
উয়াইনাহ,uainah
ইমাম,imam
মালিকের,maliker
মুয়াত্তা,muyatta
অনুসরণ,anusaran
করে,kare
হাদিস,hadis
সংকলন,songkolon
তন্মধ্যে,tanmadhe
ওভালে,ovale
কেন্টের,kenter
বিপক্ষে,bipakhe
অনুষ্ঠিত,anushtitha
১৩,13
উইকেট,wicket
পেয়ে,peye
স্মরণীয়,smaraniyo
জয়,jay
এনে,ene
জেসি,jesse
ভেলাসকুয়েজের,velasquezer
অন,on
মাই,my
নি,knee
গানটি,ganti
পরিবেশন,paribeshan
রৈখিক,roikhik
ভিডিও,video
সম্পাদনা,shompadona
চিত্র,chitra
ভিডিওটেপে,videotape
শব্দ,shabdo
সংরক্ষণ,shongrokkhon
কেন্দ্রগুলোর,kendrogulor
জীবনযাত্রার,jibonjatrar
নিম্নমানও,nimnomano
সমালোচিত,shomalochito
হয়েছে,hoyeche
কাঠালীঘাটা,kathalighata
কৌতুক,koutuk
অভিনেতা,abhineta
হিসাবেও,hisabeo
রয়েছে,royeche
সাধারণ,shadharon
রাজ্যাভিষেক,rajyobhishek
আজও,ajo
বৃহত্,brihot
অর্থে,arthe
রাজকীয়,rajokiyo
সংখ্যাগরিষ্ঠের,sankhyagoristher
সম্পর্কযুক্ত,shomporkojukta
আনুষ্ঠানিক,anushtanik
অনুষ্ঠান,onushthan
তাতে,tate
প্রকৃত,prakrita
মুকুট,mukut
দেওয়া,dewa
না,na
ধরনের,dhoroner
অনুষ্ঠানগুলিকে,onushthangulike
অন্যত্র,onnotra
বিনিয়োগকারী,biniyogkari
উদ্বোধনী,udhbodhani
রাজ্যাভিষেকের,rajyobhisheker
হিসাবে,hishabe
উল্লেখ,ullekh
আমেরিকার,americar
পরবর্তী,paroborti
শীর্ষ,sirsha
মডেল,model
চক্র-১৮,chakra-18
পর্বের,parber
ফটোস্যুটের,photoshooter
১২৪০,1240
খ্রিষ্টাব্দে,khristabde
সম্রাট,samrat
ওগেদেই,ogedei
খানের,khaner
খোদান,khodan
তিব্বত,tibet
আক্রমণ,akramon
এছাড়া,echara
চীনের,chiner
সঙ্গে,skange
বিভিন্ন,bibhinno
দেশের,desher
জল,jol
সীমার,simar
বিরধ,birodh
বর্তমান,bartoman
সাগরকে,shagorke
কেন্দ্র,kendro
পয়সার,poisar
নাটকে,natoke
নির্দেশনা,nirdeshana
ওসঙ্গীত,osonggit
পরিচালনার,porichalonar
সুনাম,sunam
অর্জন,arjan
অর্থাৎ,orthat
শেল,cell
পোর্ট,port
স্ক্রিপ্ট,script
চেয়ে,cheye
সহজ,shahaj
এক-এক,ek-ek
ব্যবধানে,byabodhane
সিরিজ,series
চলমান,chalaman
অবস্থায়,abosthay
অ্যাশেজ,ashes
অসীম,ashim
টেস্টের,tester
আয়োজন,ayojon
উদেরজো,uderjo
২০১১,2011
সেপ্টেম্বর,september
মাসে,mase
চিত্রাঙ্কন,chitrangkan
অবসর,obosor
গ্রহণ,grohon
মালভূমি,malbhumi
এলাকাগুলি,elakaguli
মূলত,muloto
দক্ষিণ-পশ্চিম,dokkhin-poschim
উত্তর-পশ্চিম,uttor-poschim
বরাবর,borabor
বিস্তৃত,bistrito
বিভা,bibha
চিব্বার,chibbar
একাদশ,ekadash
সংস্করণ,sonskoron
প্রকাশ,prokash
মার্কিন,markin
কোম্পানি,company
কর্তৃক,kortrik
ব্রিটানিকা,britannica
ইনকর্পোরেটেড-এর,incorporated-er
অধিগ্রহনের,odhigrohoner
পর,por
আমেরিকান,american
পাঠকদের,pathokder
জনপ্রিয়তা,janopriyota
অর্জনের,orjoner
বিশ্বকোষটির,bishwokoshtir
নিবন্ধের,nibondher
আকার,akar
বিষয়,bishoy
সংখ্যা,sonkhya
আরও,aro
বাড়ানো,barano
পলাতক,polatok
অবস্থায়,obosthay
নিজস্ব,nijossho
বাহিনী,bahini
ঝটিকা,jhotika
আক্রমন,akramon
ইংরেজের,ingrejer
ওপর,upor
বিখ্যাত,bikkhyato
গ্রন্থ,grantha
আনিসুল,anisul
আরওয়াহ,arowah
সেতুটির,setutir
সামনে,shamne
অসংখ্য,asonkhyo
প্রসারিত,prasarita
হাত,hat
মানুষের,manushher
অবারিত,abarito
প্রতীক,pratik
ধারনা,dharona
ধর্মীয়,dharmiyo
থেকেই,thekei
সব,shob
আঁকা,aka
অ্যান্টার্কটিকা,antarctica
নরওয়ের,norwayer
তিনটি,tinti
উপনিবেশের,uponibesher
বাকি,baki
দুটি,duti
রানী,rani
মড,mod
ল্যান্ড,land
বোভেট,bovet
দ্বীপ,dwip
ক্ষমতা,khomota
সম্মানের,shommaner
অধিকারের,odhikarer
পরই,pori
বিশ্বের,bishwer
সবচেয়ে,shobcheye
সনামধন্য,shonamdhonno
সংবাদ,shongbad
ব্যবস্থা,byabostha
যাদের,jader
কাছে,kache
আন্তর্জাতিক,antorjatik
আন্তসাংকৃতিক,antosongskritik
যোগাযোগে,jogajoge
অভিজ্ঞতা,obhigyota
আর,ar
তারা,tara
সমুদ্রের,somudrer
নিচের,nicher
ক্যাবল,cable
সিস্টেমের,systemer
বেশিরভাগই,beshirbhag
নিয়ন্ত্রণ,niyontron
করত,korto
উমিয়া,umiya
সম্প্রসারিত,somprosarito
হওয়ায়,howai
কেন্দ্রীয়,kendriyo
উমিয়াতে,umiyate
অ্যালিডব্যাকেন,alidbacen
নামক,namok
হাসপাতাল,hashpatal
নির্মিত,nirmito
সীতার,sitar
অবস্থান,obosthan
নির্ণয়,nirnay
তথা,totha
লঙ্কার,lankar
যুদ্ধে,juddhe
অত্যন্ত,ottyanta
ভূমিকা,bhumika
ফ্রাংকফুর্ট,frankfurt
আম,am
মাইনের,mainer
জাতীয়,jaytya
আইনসভাতে,ainshabhate
প্রুশিয়ার,prusiar
প্রতিনিধিত্ব,pratinidhitto
আসেন,ashen
আউলিয়ানগর,auliyanagar
রেলওয়ে,railway
স্টেশন,station
হচ্ছে,hocche
বাংলাদেশের,bangladesher
ময়মনসিংহ,mymensingh
বিভাগের,bibhager
জেলার,jelar
ত্রিশাল,trishal
উপজেলায়,upojelay
অবস্থিত,abosthito
ময়মনসিংহ,moimonsingh
সেনানিবাসের,senanibaser
অভ্যন্তরে,abhantare
একর,ekar
জমির,jomir
উপর,upor
দীঘিটি,dighiti
আয়তনের,ayotaner
দিক,dik
দ্বিতীয়,ditiya
বৃহত্তম,brihattam
জলাধার,jaladhar
স্বীকৃত,shikrito
গত,gato
৫০,50
বছরের,bacharer
নিজদেশে,nijdeshe
অস্ট্রেলিয়া,australia
দলের,daler
সর্ববৃহৎ,sorbobrihot
পরাজয়,porajoy
ক্ষত্রিয়রা,khatriyora
আর্য,arjya
কথিত,kathita
এজাতীয়,ejatiyo
বিয়েতে,biyete
সম্পর্কের,shomporker
ঘটনা,ghatona
থাকেই,thakei
বেদান্ত,bedanta
দর্শনের,darshaner
মূল,mul
ভিত্তি,bhitti
উপনিষদ্‌,uponishad
চার,char
পাঁচ,panch
সাতজন,satjon
মিলেও,mileo
খেলা,khela
ফলস,false
ফ্ল্যাগ,flag
শুটিং-এ,shooting-e
আগ্রহ,aghra
গুরুবীর,gurubir
সিং,singh
সন্ধুকে,sandhuke
দেখে,dekhe
নিজে,nije
অলিম্পিয়ান,olympian
অর্জুন,arjun
পুরস্কারপ্রাপ্ত,puroskarprapto
বুদ্বুদের,buddhuder
অভ্যন্তর,abhyantar
নিম্ন,nimno
শক্তির,shoktir
বর্তমানে,bartomane
কমিউনিস্ট,communist
পার্টির,partyr
পলিটব্যুরোর,politburor
শালডিহা,shaldiha
বিশ্ববিদ্যালয়,bishwabidalay
মঞ্জুরি,manjuri
কমিশন,commision
ইউজিসি,ugc
কোর্টে,courte
বুদ্ধিমত্তা,budhimata
প্রয়োগে,prayoge
পয়েন্ট,point
সংগ্রহের,sangraher
পরিচিত,parichito
আছেন,achen
এগারো,egaro
বয়স,boyoshh
ওয়ানটেজ,wantage
রোডে,roade
বসবাস,boshobash
করছেন,korchen
বিদ্যালয়,bidyaloy
আনোয়ারা,anowara
সৈয়দ,sayed
হক,hoque
জন্ম,jonmo
৫,5
১৯৪০,1940
হলেন,holen
খ্যাতনামা,khyatonama
বাংলাদেশী,bangladeshi
মনোরোগ,manorog
বিশেষজ্ঞ,bisheshoggo
অধ্যাপক,addhyapak
কথাসাহিত্যিক,kothasahittik
গিভ,give
মি,me
ইওর,your
এভরিথিং,everything
গান,gan
পারস্পরিক,paromporik
পুতুলটিকে,putultike
চাপলে,chaple
পিঁক,pik
শব্দ,sabda
আনন্দদায়ক,anandadayok
বার,bar
পুতুলটিতে,putultite
চাপ,chap
দিতেই,ditei
সেল্টা,selta
ভিগোর,vigor
বিপক্ষে,bippakhe
সম্মেলনে,sanmelone
বলেন,bolen
দীর্ঘ,dhirga
যাত্রা,jatra
শেষে,sese
কোনার,konar
নদ,nod
ঝাড়িধির,jharidhir
বাজারের,bajarer
দামোদর,damodar
নদ,nad
সঙ্গে,shonge
যুক্ত,jukta
আলতাফ,altaf
মাহমুদ,mahmood
স্বাধীনতা,shadhinota
যুদ্ধে,judhe
অংশগ্রহণ,ongshogrohon
যুগের,juger
পুলিশ,police
কর্মকর্তাদের,kormokortader
মতো,moto
রিমা,rima
নির্দয়,nirday
নির্মম,nirmam
ইতালি,italy
বনাম,banam
নিউজিল্যান্ড,newzealand
অনেকখানি,onekkhani
সফলও,safalo
পরে,pare
কিছুদিনের,kichudiner
পত্রিকাটি,patrikati
সংগীত,shongeet
নাটক,natok
নির্দেশনায়,nirdeshonay
পার্থ,partha
প্রতিম,pratim
দেব,deb
ভোলাহাট,bholahat
মোহবুল্লাহ,mohbullah
মহাবিদ্যালয়,mahabidyaloy
চাঁপাইনবাবগঞ্জ,chapainbabganja
অবস্থিত,abashthit
অন্যতম,onnotam
মহাবিদ্যালয়,bishwobidyaloy
প্রাথমিক,prathmik
ভাবে,bhabe
পরিস্ফুিটিত,parisphutit
লোকশিল্পের,lokoshilper
বৈশিষ্ট্য,boisistho
রাণাঘাট-লালগোলা,ranaghat-lalgola
কিল্লাঘোনা,killaghona
এ,e
পাকিস্তানী,pakistani
হানাদার,hanadar
এদেশীয়,edeshiyo
সহযোগীরা,shohojogira
বাঙলা,bangla
কলেজে,collegee
ক্যাম্প,camp
স্থাপন,sthapan
অজস্র,ajasra
মুক্তিকামী,muktikami
মানুষকে,manushhke
নির্মমভাবে,nirmambhabe
হত্যা,hatta
করেছে,koreche
দলীয়,daliyo
সঙ্গীদের,sangider
তুলনায়,tulonay
প্রিঙ্গল,pingal
ফ্যাশন,fashion
সচেতন,sachetan
সঙ্গীতের,shongeeter
প্রবল,prabal
আগ্রহ,agroho
সেখানেই,sekhanei
স্ত্রীর,strir
আলাপ,alap
পত্রিকা,patrika
প্রকাশের,prokasher
মনস্থির,monosthir
বাংলা,bangla
ইংরেজি,ingreji
দুই,dui
অংশই,ongsoi
থাকবে,thakbe
পর্তুগালের,portugaler
পর্যটন,parjatan
২০১০-এর,2010-er
৪ঠা,4tha
অক্টোবর,october
অভিযাত্রী,obhijatri
কাঠমুণ্ডু,kathmandu
ছেড়ে,chere
বাসে,buse
চড়ে,chore
যাত্র,jatra
শুরু,shuru
উদ্দেশ্যে,uddeshe
গনিতে,ganite
আইসোট্রপের,aisotroper
কয়েকটি,koekti
অর্থ,ortho
যা,ja
চুল,chul
পরিপাটি,poripati
করবার,korbar
জন্য,jnno
চুলের,chuler
নামে,naame
ইতোমধ্যে,itimoddhe
অশ্বমেধ,asshamedh
যজ্ঞের,jogger
করলে,korle
বাল্মীকি,balmiki
লব,lab
কুশকে,kushke
যজ্ঞস্থলে,joggosthale
উপস্থিত,upasthit
যুদ্ধ,juddha
হওয়ার,howar
পর,pore
লোকি,loki
আবিষ্কার,abishkar
লউফির,loufir
জৈব,joibo
দ্বারা,dara
দত্তককৃত,dottokkrita
দার্শনিক,darshonik
ডেভিড,david
হিউম,hume
সুবাদে,subade
তাঁকে,take
সর্বাত্মক,sorbatmok
সহযোগিতা,shohojogita
করলেও,korleo
বিতাড়িত,bitarito
জীবনের,jiboner
তিক্ত,tikto
রুসোকে,rousseauke
সন্দেহবাতিক,shondehobatik
মানুষে,manushe
পরিণত,porinoto
এনবিসি'র,nbc'r
ধারাবাহিক,dharabahik
ল,law
অ্যান্ড,and
অর্ডার-এ,order-a
জ্যাক,jack
ম্যাকয়,mckay
চরিত্রে,choritro
অভিনয়,obhinoy
জনপ্রিয়তা,jonopriyota
লাভ,labh
একাধিক,ekadhik
গোল্ডেন,golden
গ্লোব,globe
প্রাইমটাইম,primetime
এমি,emmy
স্ক্রিন,screen
অ্যাক্টরস,actors
গিল্ড,guild
পুরস্কারের,puroskarer
মনোনয়ন,mononayan
পুরস্কার,puroskar
এরফলে,erfole
নাটকীয়ভাবে,natokiyobhabe
জয়,joy
লুসিয়াস,lucius
এপুলিয়াসের,epuliyaser
সাহিত্যকর্ম,sahityokormo
মেটামরফোসিস,metamorphosis
রুপান্তর,rupantor
সঙ্গীত,shongeet
যাওয়ার,jawar
পরও,poro
অ্যালি,ali
গাওয়া,gawa
থামান,thaman
গেয়ে,geye
যেতেই,jetei
থাকেন,thaken
একটা,akta
সমাধানের,shomadhaner
কথা,kotha
চিন্তা,chinta
করছিলেন,korchilen
১৮৯৮,1898
স্পেনীয়-মার্কিন,spainiyo-markin
যুদ্ধের,juddher
যুক্তরাষ্ট্রের,juktorashtrer
হস্তান্তর,hostantor
ভারতীয়,bharotiyo
উত্তর,uttor
রেল,rail
জনপ্রিয়,janopriyo
লোকবিশ্বাস,lokobisshas
মতে,mote
বুদাইয়ের,budaier
পেটে,pete
ঘষা,ghosha
দিলে,dile
সমৃদ্ধি,samriddhi
প্রাচুর্যতা,prachurjota
বয়ে,boye
রীতিবহির্ভূত,ritibohirbhuto
যুদ্ধবিগ্রহ,juddhobigroho
বিল,bil
পন্সফোর্ড,ponsford
ডন,don
ব্র্যাডম্যানের,bradmaner
৪৫১,451
রানের,runer
রেকর্ডসংখ্যক,recordsongkhyak
জুটি,juti
এক,ek
পর্যায়ে,porjaye
৫৭৪/৪-এ,574/4-e
সাধারন,sadharon
নল্লুর,nallur
শহরটি,shohorti
হিন্দু,hindu
মন্দির,mondir
ঐতিহ্য,oitijjhyo
সমৃদ্ধ,shomriddho
অফসেট,ofset
পদ্ধতিতে,poddhotite
গ্রন্থটির,granthotir
মুদ্রক,mudrok
ঢাকা,dhaka
প্রিন্টার্স,printers
৩৬,36
লেন,lane
ঢাকা-১১০০,dhaka-1100
এফডিসি,fcd
ছাড়াও,charao
পপুলার,popular
স্টুডিও,studio
বারী,bari
বেঙ্গল,bengal
চলচ্চিত্র,chalachitro
পরিস্ফুটনে,porisphutane
বিরাট,birat
পালন,palon
এজবাস্টনের,edgbastoner
নিজ,nij
মাঠে,mathe
অভিষেক,obhishek
ঘটা,ghota
সিরিজের,serieser
টেস্টে,test
০,0
৭,7
রান,run
তুলেন,tulen
জার্মানিতে,germanyte
কোনো,kono
প্রকাশন,prokashon
সংস্থা,songstha
তাঁদের,tader
রোম্যান্স,romance
লেখকদের,lekhokder
স্বনামে,shoname
লিখতে,likhte
হারিভার,haribhar
সাহেবের,saheber
সাহায্যে,sahajye
মহারাজা,moharaja
সফলকাম,sofolkam
পরবর্তীতে,porbortite
পুনরায়,punorai
১৯৭৬,1976
উয়েফা,uefa
কাপ,cup
ফাইনালে,finale
পরবর্তীকালে,porobartikale
সন্ন্যাসীর,sannyasir
জীবনযাপন,jibonjapan
বহু,bohu
কর্মীকে,kormike
পরোক্ষভাবে,parokkhobhabe
প্রেরণা,prerona
যুগিয়েছেন,jugiyechen
১৫,15
ফেব্রুয়ারি,februaryr
সেনানিবাসে,senanibase
আগরতলা,agartala
ষড়যন্ত্র,sarojontro
মামলার,mamlar
অন্যতম,onnyotamo
আসামি,asami
সার্জেন্ট,seargent
জহুরুল,jahrul
হককে,hoqueke
হত্যা,hotya
পিচ্ছিভূতের,picchibhooter
কান্ড,kando
ভাগলপুরে,bhagalpure
জন্মগ্রহণকারী,jonmogrohonkari
কুমুদলাল,kumudlal
গঙ্গোপাধ্যায়কে,gangapadhyayke
পারিবারিকভাবে,paribarikbhabe
আদর,ador
দাদামণি,dadamoni
ডাকা,daka
হতো,hoto
গ্রন্থদ্বয়,granthodway
প্রকাশিত,prokashito
হলে,hole
রুসো,rousseau
গির্জা,girja
রাজতন্ত্রের,rajtantrer
রোষানলে,roshanole
পড়েন,poren
স্পেলেই,spellei
মারভান,marvan
আতাপাত্তু,attapattu
মাহেলা,mahela
জয়াবর্ধনেকে,jayavardhoneke
আউট,out
আইনে,aine
বিয়ে,biye
রেজিস্ট্রেশনের,registrationer
বিধান,bidhan
নেই,nei
এরা,era
রাভেনালা,ravenala
গণের,ganer
একমাত্র,ekmatro
প্রজাতি,prajati
ক্রিকেট,cricket
কলিন,collin
বেটম্যান,bateman
লোডার,lodar
সম্পর্কে,shomporke
মন্তব্য,mantabba
নিখুঁত,nikhut
বোলিংয়ের,bowlinger
প্রতিপক্ষের,pratipakkher
ব্যাটিং,batting
মেরুদণ্ড,merudando
ফেলায়,felay
পারদর্শিতা,parodarshita
দেখিয়েছেন,dekhiyechen
নমঃশূদ্ররা,namashudrora
নমঃশূদ্র,namashudro
নামের,naamer
আনুষ্ঠানিক,anustanik
